id,age_of_acquisition,word,concept
1,17.44,cassava,CASSAVA [925]
2,16.75,calabash,CALABASH [3918]
3,16,goiter,GOITER [1957]
4,15.83,turbid,TURBID [537]
5,15.29,persimmon,PERSIMMON [2044]
6,15.23,brackish,BRACKISH [70]
7,15,turmeric,TURMERIC [2842]
8,14.86,tamarind,TAMARIND [35]
9,14.71,annatto,ACHIOTE [349]
10,14.59,dowry,DOWRY [3168]
11,14.57,agave,AGAVE [3989]
12,14.56,infringe,INFRINGE [555]
13,14.53,mangrove,MANGROVE [350]
14,14.5,kapok,KAPOK TREE [2499]
15,14.5,ruminate,RUMINATE [3680]
16,14.44,scrotum,SCROTUM [2834]
17,14.33,nettle,NETTLE [33]
18,14.22,cormorant,CORMORANT [840]
19,14.2,beget,BEGET [1152]
20,14.2,taro,TARO [351]
21,14.13,estuary,ESTUARY [2286]
22,14.12,mosque,MOSQUE [1603]
23,14.08,lariat,LASSO [340]
24,14.08,millet,MILLET [931]
25,14.07,pyre,PYRE [2832]
26,14,ridgepole,RIDGEPOLE [280]
27,14,thresh,THRESH [285]
28,14,fodder,FODDER [3046]
29,14,clitoris,CLITORIS [3257]
30,13.95,coagulate,CONGEAL (BLOOD) [2395]
31,13.94,conjunctivitis,CONJUNCTIVITIS [3026]
32,13.92,sorghum,SORGHUM [347]
33,13.91,marmot,MARMOT [3719]
34,13.89,astringent,ASTRINGENT [3837]
35,13.88,coriander,CORIANDER [3241]
36,13.67,goanna,MONITOR LIZARD [3017]
37,13.64,larch,LARCH [116]
38,13.607018,braise,STEAM (VERB) [2067]
39,13.59,lotus,LOTUS [2359]
40,13.57,rattan,RATTAN [2497]
41,13.47,insolent,INSOLENT [91]
42,13.42,bandicoot,BANDICOOT [3012]
43,13.33,contemptible,CONTEMPTIBLE [1]
44,13.29,breadfruit,BREADFRUIT [2371]
45,13.22,acquit,ACQUIT [988]
46,13.21,abortion,ABORTION [3866]
47,13.2,congee,CONGEE [2049]
48,13.2,defecate,SHIT (DEFECATE) [676]
49,13.191395,bellows,BELLOWS [3658]
50,13.11,vulva,VULVA [1837]
51,13.11,obstinate,OBSTINATE [1842]
52,13.074168,hither,HITHER (HERE TO) [2925]
53,13.06,artery,ARTERY [1925]
54,13.06,prawn,PRAWNS [238]
55,13.06,lentil,LENTILS [3330]
56,13,furrow,FURROW [1794]
57,13,pestle,PESTLE [225]
58,13,headwaters,HEADWATERS [2672]
59,13,deity,DEITY [3231]
60,13,plait,PLAIT [333]
61,13,copulate,COPULATE [549]
62,12.95,abstain,ABSTAIN FROM FOOD [303]
63,12.94,hemp,HEMP [2041]
64,12.88,cuttlefish,CUTTLEFISH [2814]
65,12.84,pancreas,PANCREAS [3252]
66,12.8,whetstone,WHETSTONE [295]
67,12.8,plantain,PLANTAIN [399]
68,12.8,excreta,EXCRETA [47]
69,12.78,perjury,PERJURY [1792]
70,12.73,kingfisher,KINGFISHER [2444]
71,12.72,larynx,LARYNX [3714]
72,12.71,peccary,PECCARY [2390]
73,12.68,ulcer,ULCER [1189]
74,12.67,menstruate,MENSTRUATE [2827]
75,12.65,convey,CONVEY (A MESSAGE) [2898]
76,12.61,okra,OKRA [1737]
77,12.6,gelding,GELDING [2566]
78,12.5,condemn,CONDEMN [484]
